Date,Channel,Retailer,Retailor,SKU, Unit Sold ,Rev,Category,Sub_Category,
9/1/2026,Online,Naver,naver,NJ1001KR,1,71727,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,71727,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,71727,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,71727,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,NJ1001KR,1,72636,Ninja Motorized,Food process,Motorized
9/1/2026,Online,Naver,naver,BC151KRBK,1,108091,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC151KREM,1,108091,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,CI1001KR,1,109000,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,CI1001KR,1,109000,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,BC151KRBK,1,109000,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC151KRBK,1,109000,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,FA050KR,1,109000,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,BC151KRBK,1,109000,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BN300KR,1,117182,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,BN300KR,1,117182,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,BN300KR,1,117182,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,BN300KR,1,118091,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,BN300KR,1,118091,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,WV210KR,1,122455,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,WV210KR,1,122455,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,WV210KR,1,123364,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,CI1000KR,1,126273,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,CI1000KR,1,126273,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,WV210KR,1,127182,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,CI1000KR,1,127182,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,CI1000KR,1,127182,Ninja Motorized,Hand,Motorized
9/1/2026,Online,Naver,naver,BC251KRLD,1,135364,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC251KRNV,1,135364,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC251KRMT,1,135364,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC251KRGY,1,135364,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC251KRNV,1,136273,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,BC251KRGY,1,136273,Ninja Motorized,Portable,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,153545,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,153545,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,153545,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,153545,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,153545,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,154455,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,154455,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,CB151KR,1,154455,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,FA200KRWH,1,162636,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,FA200KRBK,1,163545,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,FA200KRBK,1,163545,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,TB201KR,1,168091,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,WV270KR,1,180818,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,FA050KRWH,1,180818,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,TB201KR,1,181727,Ninja Motorized,Trad,Motorized
9/1/2026,Online,Naver,naver,FA050KR,1,181727,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,FA050KRWH,1,181727,Shark Fan,Fan,Home Environment
9/1/2026,Online,Naver,naver,WV270KR,1,181727,Shark Floorcare,WV,Vacuum
9/1/2026,Online,Naver,naver,TB201KR,1,181727,Ninja Motorized,Trad,Motorized
